ADDRESS,ZIP CODE,SALE PRICE,SALE DATE
"280 9TH AVENUE, 13E",10001,72260,2016-10-24
"355 8TH AVENUE, 3C",10001,101726,2016-11-15
"345 8TH AVENUE, 16G",10001,87346,2016-11-11
"365 WEST 28TH STREET, 11D",10001,86231,2016-09-01
"250 WEST 15TH STREET, 6E",10011,655000,2016-12-16
"250 WEST 15TH STREET, I",10011,785000,2017-08-17
"250 WEST 16TH STREET, 4D",10011,915000,2017-02-02
"250 WEST 16TH STREET, 3D",10011,849000,2016-12-15
"250 WEST 16TH STREET, 5A",10011,300000,2017-07-26
"253 WEST 16TH   STREET, 3E",10011,495846,2017-02-09
"201 WEST 16TH STREET, 9B",10011,1225000,2017-06-05
"210 WEST 21ST STREET, 4RW",10011,1115000,2016-10-20
"210 WEST 21ST STREET, 6FE",10011,1260000,2017-05-17
"210 WEST 21ST STREET, 7RW",10011,1195000,2017-06-12
"210 WEST 21ST STREET, 3RW",10011,1075000,2017-07-25
"234 WEST 21ST STREET, 42",10011,267701,2016-09-27
"234 WEST 21ST STREET, 71",10011,284101,2016-09-27
"234 WEST 21ST STREET, 3",10011,207564,2016-09-27
"234 WEST 21ST STREET, 51",10011,289568,2016-09-27
"234 WEST 21ST STREET, 63",10011,218498,2016-09-27
"234 WEST 21ST STREET, 62",10011,207564,2016-09-27
"223 WEST 21ST STREET, 3K",10011,500000,2017-06-12
"221 WEST 21ST STREET, 3C",10011,670000,2017-03-15
"201 WEST 21ST STREET, 11A",10011,530000,2016-09-07
"201 WEST 21ST STREET, 15E",10011,460000,2016-09-16
"201 WEST 21ST STREET, 8C",10011,605000,2016-11-30
"201 WEST 21ST STREET, 12J",10011,677500,2017-01-25
"201 WEST 21ST STREET, 11K",10011,425000,2017-03-29
"201 WEST 21ST STREET, 6B",10011,590000,2017-04-27
"201 WEST 21ST STREET, 14E",10011,475000,2017-06-26
"201 WEST 21ST STREET, 4D",10011,469000,2017-07-18
"250 WEST 22ND ST, 5C",10011,880000,2017-02-06
"244 WEST 23RD, 5C",10011,2000000,2017-06-20
"255 WEST 23RD STREET, 4BE",10011,1090000,2016-10-18
"250 WEST 24TH, 2BE",10011,945000,2016-12-22
"255 WEST 23RD STREET, 4FE",10011,592500,2017-02-16
"250 WEST 24TH STREET, 3DW",10011,653000,2017-03-06
"255 WEST 23RD STREET, 5CE",10011,1250000,2017-03-07
"255 WEST 23RD STREET, 6BW",10011,1075000,2017-05-01
"250 WEST 24TH STREET, 5AW",10011,590000,2017-05-12
"255 WEST 23RD ST, 5HW",10011,1535000,2017-07-27
"250 WEST 24TH STREET, 5BW",10011,975000,2017-08-07
"241 WEST 23RD STREET, 6B",10011,1950000,2017-06-19
"241 WEST 23 STREET, 2",10011,3850000,2017-06-20
"225 WEST 25TH STREET, 5G",10001,905000,2016-09-09
"225 WEST 25TH STREET, 6L",10001,900000,2016-11-09
"225 WEST 25TH STREET, 6A",10001,890000,2017-05-04
"225 WEST 25TH STREET, 4B",10001,520000,2017-05-02
"225 WEST 25TH STREET, 5C",10001,810000,2017-06-06
"233 WEST 26, 1E",10001,1600000,2016-11-15
"233 WEST 26TH STREET, 2W",10001,2495000,2016-12-01
"233 WEST 26TH STREET, 8E",10001,3051000,2017-06-13
"77 SEVENTH AVENUE, 11F",10011,1700000,2016-10-07
"77 SEVENTH AVENUE, 19E",10011,1650000,2016-10-26
"77 7TH AVENUE, 11J",10011,867500,2016-12-13
"77 SEVENTH AVENUE, 20A",10011,737500,2017-01-30
"77 SEVENTH AVE, 8U",10011,540000,2017-02-01
"77 SEVENTH AVENUE, 3P",10011,1111000,2017-02-10
77 7TH AVE,10011,981000,2017-03-20
"77 SEVENTH AVENUE, 12D",10011,1650000,2017-03-27
"77 SEVENTH AVENUE, 11M",10011,1950000,2017-03-28
77 7TH AVE,10011,1390000,2017-04-20
"77 SEVENTH AVENUE, 10C",10011,630000,2017-04-24
"77 SEVENTH AVENUE, 18B",10011,708000,2017-06-26
"77 SEVENTH AVENUE, 12C",10011,865000,2017-07-12
"77 SEVENTH AVENUE, 18S",10011,1275000,2016-12-08
"77 SEVENTH AVENUE, 15U",10011,615000,2017-08-28
"100 WEST 15TH STREET, 2I",10011,939000,2016-10-17
"100 WEST 15TH STREET, 3F",10011,545000,2016-11-09
"100 WEST 15TH STREET, 3E",10011,560000,2017-01-12
"154 WEST 15TH STREET, 3B",10011,527500,2016-11-02
"161 WEST 15TH STREET, 2F",10011,1970000,2016-10-31
"161 WEST 15TH STREET, 3D",10011,1450000,2017-02-28
"161 WEST 15TH STREET, 2A",10011,1850000,2017-04-11
"155 WEST 15TH   STREET, 5A6AB",10011,5000000,2017-01-23
"155 WEST 15TH STREET, 1E",10011,1753000,2017-03-20
"130 WEST 16TH STREET, 52",10011,949000,2017-07-20
"575 SIXTH AVE, 4A",10011,2075000,2017-03-22
"575 SIXTH AVENUE, COM",10011,6000000,2017-06-27
"165 WEST 20TH STREET, 4A",10011,615000,2016-10-25
"165 WEST 20TH, 5C",10011,675000,2016-11-28
"165 WEST 20 ST, 3A",10011,615000,2017-06-06
"155 WEST 20TH STREET, 2B",10011,818750,2017-03-16
"155 WEST 20TH STREET, 2F",10011,445000,2017-05-08
"155 WEST 20TH STREET, 6C",10011,550000,2017-05-25
"155 WEST 20TH STREET, 6B",10011,950000,2017-05-19
"143 WEST 20TH STREET, 3N",10011,2275000,2016-11-16
"166 WEST 22ND STREET, 6C",10011,900000,2017-06-29
"166 WEST 22ND STREET, 4C",10011,839000,2017-06-29
"166 WEST 22ND STREET, 4C",10011,839000,2017-06-29
"147 WEST 22ND STREET, 3N",10011,1810000,2017-07-06
"129 WEST 22ND STREET, 11FL",10011,4815000,2017-06-13
"101 WEST 23RD STREET, 4J",10011,433000,2017-03-01
"107 WEST 25TH   STREET, 3B",10001,1770000,2017-05-12
"107 WEST 25TH STREET, 6E",10001,1645000,2017-08-21
"107 WEST 25TH   STREET, 5D",10001,1700000,2017-08-29
"109 WEST 26TH STREET, 2A",10001,2000000,2016-11-11
"775 SIXTH AVENUE, 1",10001,997500,2017-03-30
"775 AVENUE OF THE AMERIC, 1",10001,210000,2017-03-30
"114 WEST 27TH STREET, 8N",10001,2560000,2016-11-30
"114 WEST 27TH   STREET, 4S",10001,2650000,2017-04-27
217 WEST 14TH STREET,10011,1150000,2017-01-06
221 WEST 14TH STREET,10011,826000,2017-04-27
520 WEST 19TH STREET,10011,2560000,2017-06-13
520 WEST 19TH STREET,10011,2815000,2016-11-14
520 WEST 19TH   STREET,10011,3699000,2017-08-01
520 WEST 19TH STREET,10011,3020000,2017-05-03
100 ELEVENTH AVENUE,10011,2600000,2017-02-01
100 ELEVENTH AVENUE,10011,7950000,2017-06-08
505 WEST 19TH   STREET,10011,3210237,2016-09-26
505 WEST 19TH STREET,10011,5875000,2017-01-23
505 WEST 19 STREET,10011,44105000,2016-11-14
505 WEST 19TH   STREET,10011,4650000,2016-12-14
505 WEST 19TH STREET,10011,2685000,2017-06-19
505 WEST 19TH   STREET,10011,15350000,2017-08-23
505 WEST 19TH   STREET,10011,14650000,2017-06-22
551 WEST 21ST   STREET,10011,2760000,2017-06-02
551 WEST 21ST   STREET,10011,2853850,2017-05-24
551 WEST 21 STREET,10011,2599287,2017-06-16
551 WEST 21ST   STREET,10011,2760000,2017-06-19
551 WEST 21ST   STREET,10011,6315900,2016-12-06
551 WEST 21ST   STREET,10011,6875937,2016-11-08
551 WEST 21ST   STREET,10011,7950000,2016-10-31
551 WEST 21ST   STREET,10011,5959512,2016-09-07
551 WEST 21ST   STREET,10011,10490725,2016-09-14
551 WEST 21ST   STREET,10011,13435504,2016-09-07
551 WEST 21ST   STREET,10011,10126700,2016-09-27
551 WEST 21ST   STREET,10011,14563725,2016-09-14
551 WEST 21ST   STREET,10011,10948937,2016-09-09
551 WEST 21ST   STREET,10011,15139625,2016-10-05
551 WEST 21ST   STREET,10011,12018100,2016-09-12
551 WEST 21ST   STREET,10011,15887450,2016-09-14
551 WEST 21ST   STREET,10011,11560349,2017-01-12
551 WEST 21ST   STREET,10011,16466145,2016-10-07
551 WEST 21ST   STREET,10011,12829362,2016-10-07
551 WEST 21ST   STREET,10011,16905700,2016-09-01
551 WEST 21ST   STREET,10011,13443650,2016-10-07
551 WEST 21ST   STREET,10011,17809925,2016-11-10
551 WEST 21ST   STREET,10011,13478450,2016-11-10
551 WEST 21ST   STREET,10011,34623250,2016-11-22
551 WEST 21ST   STREET,10011,33605000,2017-01-09
525 WEST 22ND STREET,10011,6300000,2016-09-13
519 WEST 23RD STREET,10011,2800000,2016-11-29
555 WEST 23RD   STREET,10011,799000,2016-11-07
555 WEST 23RD STREET,10011,1340000,2017-08-30
555 WEST 23RD   STREET,10011,1060000,2017-05-12
555 W 23RD ST,10011,1035000,2017-04-25
555 WEST 23RD STREET,10011,1040000,2016-12-22
555 WEST 23RD STREET,10011,1045000,2017-06-27
555 WEST 23RD STREET,10011,1025000,2017-03-13
555 WEST 23RD   STREET,10011,740000,2017-07-26
555 WEST 23RD   STREET,10011,1210000,2017-02-08
555 WEST 23RD STREET,10011,995000,2016-12-19
555 WEST 23 STREET,10011,995000,2017-01-03
555 WEST 23RD   STREET,10011,785000,2017-04-20
555 WEST 23RD STREET,10011,1020000,2016-12-21
555 WEST 23RD   STREET,10011,975000,2017-01-05
555 WEST 23RD STREET,10011,1650000,2016-12-15
555 WEST 23RD   STREET,10011,1700000,2016-12-02
555 WEST 23RD STREET,10011,257068,2017-01-18
555 WEST 23RD   STREET,10011,1075000,2017-05-18
555 WEST 23RD STREET,10011,2900000,2016-11-15
555 WEST 23RD   STREET,10011,2875000,2016-11-15
231-233 TENTH AVENUE,10011,6000000,2017-01-18
200 ELEVENTH AVENUE,10011,6500000,2016-12-08
200 11TH   AVENUE,10011,4225000,2017-07-07
245 10TH   AVENUE,10001,3750000,2017-05-30
540 WEST 28TH STREET,10001,1199000,2017-01-10
540 WEST 28TH STREET,10001,1255000,2017-05-12
540 WEST 28TH,10001,1280000,2017-01-19
540 WEST 28TH STREET,10001,1300000,2017-08-04
540 WEST 28TH STREET,10001,1300000,2017-05-18
540 WEST 28TH STREET,10001,1275000,2017-03-01
540 WEST 28TH STREET,10001,2900000,2017-08-11
540 WEST 28TH   STREET,10001,2750000,2017-06-21
510 WEST 28TH   STREET,10001,7165843,2017-08-09
510 WEST 28TH   STREET,10001,4937073,2017-08-02
520 WEST 28TH   STREET,0,6033271,2017-06-27
520 WEST 28TH   STREET,0,6198750,2017-06-26
510 WEST 28TH   STREET,10001,14504000,2017-08-21
510 WEST 28TH   STREET,10001,4987833,2017-07-26
510 WEST 28TH   STREET,10001,5191483,2017-07-27
